order2,home,away,rivalry,favored,underdog,line,etp,fminusu,favscore,undscore,tp,fro1,fpo1,fto1,fso1,frd1,fped1,ftd1,fsd1,fws,fls,fsched,uro1,upo1,uto1,uso1,urd1,uped1,utd1,usd1,uws,uls,usced,frank,urank,fnr,unr,finj,uinj,top25game,confgame,nightgame,conference,week,year,stadium,power5,ACC,BigEast,BigTen,BigTwelve,CUSA,IND,MAC,MntWest,NonConf,PacTen,SEC,SunBelt,WAC,NoRivalry,MinorRivalry,MajorRivalry,AnyRivalry,Home_Rating,Away_Rating,,,fsched,finj,power5,Any
2669,UCF,Tulsa,None,UCF,Tulsa,7.5,73.5,19,44,25,69,237.33,188.33,425.67,37.92,139.33,116.01,371.75,28.08,6,0,0.48181818,179.25,369.33,548.58,40.67,186.58,139.83,471.75,34.67,5,0,0.4587156,32,35,0,0,1,2,0,0,1,NC,14,2007,75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,75.46,70.69,,,0.4,1,0,0
2245,Houston,East Carolina,None,Houston,East Carolina,13.5,57,-2,35,37,72,223,260.33,483.33,33,179.67,126.53,376,28.33,2,0,0.57142857,102.25,195.5,297.75,17.25,163.75,157.17,420.75,31,0,2,0.63636364,0,0,1,1,1,4,0,1,1,CUSA,5,2007,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,65.76,71.37,,,0.54166667,1,0,0
2355,Tulsa,Marshall,None,Tulsa,Marshall,14,70.5,7,38,31,69,193.2,378.6,571.8,39.2,206.8,151.12,499.6,40.8,0,1,0.54545455,104.8,280.2,385,19.2,230.2,151.95,447,38.2,0,6,0.65217391,0,0,1,1,1,6,0,1,1,MAC,7,2007,40385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,70.69,57.6,,,0.7,1,1,0
2360,UTEP,East Carolina,None,UTEP,East Carolina,2,65,-3,42,45,87,190.17,234.5,424.67,35.5,162.33,134.52,489.83,30.67,3,0,0.52,123.67,191.33,315,26.33,163.5,147.22,443.67,32.83,2,0,0.59259259,0,0,1,1,1,4,0,1,1,CUSA,7,2007,52000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,55.94,71.37,,,0.45801527,1,0,0
2372,Pittsburgh,Cincinnati,None,Cincinnati,Pittsburgh,9.5,50.5,-17,17,34,51,178.71,268.71,447.43,40.57,86.71,117.54,355.43,14.86,0,1,0.48648649,143.67,188.5,332.17,24.5,147.67,106.5,306.5,26,0,4,0.6969697,23,0,0,1,1,6,1,0,0,NC,8,2007,65000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,70.43,82.81,,,0.6,1,0,1
2548,SMU,Rice,Major,SMU,Rice,6.5,72,-1,42,43,85,145,256.56,401.56,25.11,192,141.68,490.67,36.67,0,7,0.44444444,107.56,251,358.56,28.89,182.56,153.92,510.89,42.22,1,0,0.46575342,0,0,1,1,1,2,0,1,0,CUSA,11,2007,32000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,47.44,50.78,,,0.38202247,1,0,0
623,Memphis,Bowling Green,None,Memphis,Bowling Green,3.5,67.5,-17,35,52,87,207.595,260.4375,480.2466667,39.696,125.944,142.14,407.51,28.29125,3,0,0.4592,161.0325,390.978,519.75,45.45,123,112.1671429,380.1842857,22.755,0,1,0.4583,30,36,0,0,2,2,1,0,1,NC,15,2004,62380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.21,75.74,,,0.48181818,1,0,0
378,TCU,Houston,None,TCU,Houston,6.5,66,7,34,27,61,142.99,304.33,441.6829167,41.124,94.23,152.6257143,440.7525,34.74,0,1,0.4483,130.804,246.07,386.502,17.60875,218.7966667,124.9121429,375.425,31.77333333,0,3,0.7037,0,0,1,1,2,9,0,1,1,CUSA,8,2004,44830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,66.11,61.33,,,0.57142857,1,0,0
490,Memphis,Southern Miss,Minor,Memphis,Southern Miss,6,58,4,30,26,56,200.3940625,296.805,480.2466667,39.868,127.0583333,158.3366667,409.964,30.91,0,2,0.46,164.3783333,137.805,321.5666667,29.1525,141.4714286,118.1533333,345.03,23.57,0,1,0.4375,0,31,1,0,2,3,1,1,1,CUSA,11,2004,62380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,69.21,69.59,,,0.54545455,1,0,0
947,Miami-Ohio,Akron,None,Miami-Ohio,Akron,13.5,57,28,51,23,74,138.6,279.2,417.8,29.8,138,132.31,430,27.2,0,1,0.27777778,82.6,300.4,383,23.8,123.6,132.51,364.6,27.2,1,0,0.26315789,0,0,1,1,2,1,0,1,0,MAC,7,2005,30012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,69.92,63.88,,,0.52,1,0,0
